7.323,7.437,7.009,7.007,7.08,7.942,7.166,7.172,7.236
7.361,7.449,7.022,7.042,7.085,7.963,7.259,7.18,7.248
7.376,7.452,7.035,7.072,7.172,7.978,7.272,7.22,7.279
7.378,7.464,7.07,7.099,7.212,7.994,7.276,7.224,7.282
7.392,7.501,7.11,7.143,7.284,7.996,7.286,7.239,7.283
7.401,7.501,7.192,7.156,7.299,7.997,7.291,7.257,7.288
7.402,7.504,7.204,7.16,7.307,7.999,7.291,7.26,7.329
7.437,7.504,7.335,7.171,7.311,7.999,7.294,7.274,7.355
7.438,7.51,7.338,7.174,7.328,8,7.328,7.277,7.36
7.463,7.511,7.35,7.204,7.344,8.001,7.338,7.3,7.395
7.466,7.522,7.387,7.205,7.345,8.006,7.338,7.307,7.403
7.473,7.525,7.473,7.23,7.35,,7.353,7.309,7.406
7.484,7.541,7.518,7.247,7.35,,7.354,7.347,
7.495,,7.538,7.266,7.352,,7.358,7.363,
7.507,,,7.27,7.355,,7.388,7.404,
7.521,,,7.311,7.361,,7.388,,
7.551,,,7.314,7.365,,7.4,,
7.568,,,7.328,7.366,,7.408,,
,,,7.378,7.37,,7.41,,
,,,7.411,7.37,,7.418,,
,,,,,,7.423,,
,,,,,,7.438,,
,,,,,,7.471,,
